label,youtube_id,time_start,time_end,split
cooking chicken,-07Ke73N4zI,612,622,train
making bed,-0mnCHRQ-Zc,92,102,train
baking cookies,-1MXpPymXFU,187,197,train
baking cookies,-36efvC2K54,73,83,train
cooking chicken,-6zh0xWFWT4,36,46,train
cooking chicken,-BptOURMao8,398,408,train
cooking chicken,-CTvtfED6Ak,191,201,train
making bed,-JdIM1KZ1zo,32,42,train
folding clothes,-KtT7Q730Yg,8,18,train
washing hands,-LUN6528w3I,28,38,train
cooking chicken,-N69Jdzk6B4,286,296,train
cleaning toilet,-P8Hq7Nc_lQ,93,103,train
sweeping floor,-PuoHDrdsSM,1,11,train
mopping floor,-RJiqilN2Ic,23,33,train
making bed,-SmfJbcO8WI,1,11,train
cooking chicken,-ToYMwdP3l8,146,156,train
folding clothes,-U2IQ5qOGmQ,4,14,train
washing dishes,-W3IkywROmU,21,31,train
baking cookies,-W53pl92itE,242,252,train
cooking chicken,-WKXzXGaKzE,224,234,train
washing hands,-Xkdlbnxfc8,376,386,train
washing dishes,-Y5LoJ4_ivY,14,24,train
folding clothes,-YKDJrc2p5w,9,19,train
cooking chicken,-YNnVtZTh0g,67,77,train
washing hands,-Z-zFKGPJB0,2,12,train
making bed,-ZJW6ORJNi0,65,75,train
cooking chicken,-Zedueym2Fo,42,52,train
making bed,-Zqy82Ro8SE,194,204,train
cleaning toilet,-aS-w4YzQ5A,68,78,train
cooking chicken,-dykWXNvAPw,12,22,train
making bed,-eNob5dRnrY,312,322,train
washing hands,-eia05K09c8,71,81,train
making bed,-gCbbcIldvc,19,29,train
cooking chicken,-gRYGmwgGd4,94,104,train
making bed,-gdIj0lzvt4,6,16,train
making bed,-hOOpw_S8uQ,0,10,train
making bed,-i4pTCL8uC8,61,71,train
washing dishes,-ie01Q07sWY,3,13,train
mopping floor,-kzH1UEDKvM,8,18,train
baking cookies,-l3Cq12DG3Q,296,306,train
doing laundry,-mWhX_yXOS8,9,19,train
washing hands,-mhWIO9Zy-Y,85,95,train
folding clothes,-qlJmXRti-g,152,162,train
folding clothes,-riGpxoagdg,93,103,train
mopping floor,-u8qBtbRoAE,54,64,train
washing hands,-ucHY_dvTyY,0,10,train
making bed,-uh3xmuIEJE,198,208,train
sweeping floor,-uuUkbhajQs,39,49,train
mopping floor,-uzhaclXzdU,0,10,train
mopping floor,-v0C-l0yHDA,90,100,train
cooking chicken,-vvUgfNlMwE,145,155,train
making bed,-wGuV57TYpA,49,59,train
washing dishes,-x8uVwZuQpI,52,62,train
making bed,-y5p2o2L9Jc,3,13,train
folding clothes,-zjeY-7fXJw,95,105,train
making bed,011cODTrRYs,127,137,train
cooking chicken,02QplMWeNhU,158,168,train
cooking chicken,02pEmMBwFME,196,206,train
mopping floor,04Qvw9bFJYI,50,60,train
washing dishes,04TLY-78Mcs,147,157,train
baking cookies,07ILndvuKUc,74,84,train
sweeping floor,07meInKy9hE,10,20,train
mopping floor,09mQD547rsc,38,48,train
baking cookies,09yxWl2Ek1M,158,168,train
washing hands,0Ad3dp89NvU,22,32,train
baking cookies,0Ata9VACjv8,23,33,train
cooking chicken,0BeczhLJTak,302,312,train
